ModelID,Model,InputSet,Input,alpha,HML,CMA,MOM,p_HML,p_CMA,p_MOM
o3,o3,both,Fund. + Market,350.772458322714,-0.28590564413121655,-0.21664874954473126,0.25415352124233875,0.18850454681011342,0.510196897373465,0.2653633379534641
o3,o3,fundamentals_only,Fund. only,84.63732719425316,-0.5001899779864846,-0.3967904353195205,0.3057523886161618,0.04189095781387042,0.21948489066358468,0.13199264611417938
o3,o3,market_only,Market only,317.40665997765996,-0.18881059929924107,-0.2770965084366458,0.456380189345789,0.39183084006300595,0.3657323509418984,0.02982683616374393
gemini-2.5-pro,Gem. 2.5 Pro,both,Fund. + Market,340.22318278179836,-0.2735769653859458,-0.3994926197941202,0.5064934063702611,0.34496503209150386,0.42971977576990206,0.11794782055502373
gemini-2.5-pro,Gem. 2.5 Pro,fundamentals_only,Fund. only,76.22955046508073,-0.2681456040233126,-0.6872713150899071,0.3801649501204136,0.3320153182859622,0.17735474543529373,0.21747260306474026
gemini-2.5-pro,Gem. 2.5 Pro,market_only,Market only,414.1646447887466,-0.619436921179608,0.5036552948597514,0.4728037358421089,0.17778481989672357,0.3855866112999369,0.21880935304920612
claude-opus-4-20250514,Cl. Opus 4,both,Fund. + Market,260.974276995091,0.2189948569621787,-1.3911586783762062,0.11798327622313408,0.5042406833585495,0.01748152339734088,0.6884420045473068
claude-opus-4-20250514,Cl. Opus 4,fundamentals_only,Fund. only,-7.206204864313925,-0.20766021286392083,-1.255779359795183,0.1838211055423607,0.22531103782831075,0.001014209763511964,0.2784276286141327
claude-opus-4-20250514,Cl. Opus 4,market_only,Market only,555.9312011159797,-0.20024482369303487,-0.4456165708788699,0.12665577485731008,0.4232276364690719,0.18244584595400637,0.6165928853075453
