display,mode,CAPM,FF3,Carhart4,FF5,FF6
Claude Haiku 4.5,return,220.3546865908529,233.03568927023775,229.54288088660232,203.27860538452677,203.3148061363685
Claude Haiku 4.5,sharpe,99.48590979191256,103.4111302877693,96.68718062619108,76.9817804953084,76.96357494737869
Claude Haiku 4.5,sortino,129.74042122423253,132.8922861107682,130.45600792329495,122.1694131999719,122.17458368952659
Claude Opus 4,return,143.2672173575014,152.15450182858464,136.11860738007488,136.20876689096488,129.61691857573402
Claude Opus 4,sharpe,65.9589551015612,57.333727823481226,59.70598094134394,57.70685024859918,59.61825016844191
Claude Opus 4,sortino,139.89550791303947,139.17459907658446,138.32133756426978,137.8175067203936,139.33146987836545
Claude Sonnet 4,return,153.41032440302044,164.9312774943485,151.57277864412873,149.0571352932799,144.68073568045287
Claude Sonnet 4,sharpe,166.50155542930452,164.30288961064292,160.56411413005884,158.70398433165502,158.85495653972094
Claude Sonnet 4,sortino,18.556117213965685,16.309612683805884,17.278500876545323,20.627817489125878,21.03028846310786
GPT-4.1,return,95.24328924413904,109.28187398623521,100.26717257502686,93.44926776396582,92.17288922890954
GPT-4.1,sharpe,123.18149142356289,123.51550428639588,126.49165146034336,110.11339232176307,111.82765936915536
GPT-4.1,sortino,53.18079490240051,58.50174698831301,59.74761007591694,48.40248870617987,49.30220118464672
GPT-4.1 mini,return,198.53895542735393,204.2065072785541,194.15231309405226,156.98099191131635,157.42479927897853
GPT-4.1 mini,sharpe,104.99776457414241,112.45377629626749,106.66771410474563,100.40145656813641,99.95696987825636
GPT-4.1 mini,sortino,51.824698237857824,52.049023226606536,43.74023590381739,38.35499833754372,37.493356207167984
GPT-4o,return,-9.487256354905993,-8.365920767725166,-9.388440457896884,-11.137620097778267,-11.511487511759066
GPT-4o,sharpe,-52.2873634656587,-52.5183954701201,-51.23931260317116,-50.306312623364356,-49.70833157279259
GPT-4o,sortino,-44.63810081480302,-45.91899149779747,-45.22728835082789,-44.84206651352456,-44.521191327633645
GPT-4o mini,return,-35.71081582047596,-36.51191135736841,-34.92488006581701,-36.142205620654245,-35.193790895774114
GPT-4o mini,sharpe,-36.33805336740069,-36.93854510596307,-35.14230749179329,-35.377188783427336,-34.39410390212158
GPT-4o mini,sortino,-40.497835409773344,-41.35795169487297,-40.39185894395169,-40.25071734515685,-39.75269115310848
Gemini 2.5 Flash,return,116.10091731466392,131.3841119977135,116.3098381910034,119.54802710381985,112.72639198649723
Gemini 2.5 Flash,sharpe,19.788489971327785,22.14571006468773,22.0620767519311,23.589328925311182,23.679116309584924
Gemini 2.5 Flash,sortino,42.33670133564047,40.20320218370672,42.35242053262711,38.35802423713093,40.6926655329237
Gemini 2.5 Pro,return,91.7550404092738,107.09233189443835,95.88087886822024,92.25387296077379,87.60557218070106
Gemini 2.5 Pro,sharpe,42.561996742413186,42.819554833880225,46.57918645933164,37.98143812607726,41.337307441917794
Gemini 2.5 Pro,sortino,76.00933538358797,73.76073053997192,79.47173713067805,78.69329346523506,82.68004566644063
Gemini 3 Flash,return,311.45040293610793,344.6561546877679,313.0327689925064,313.0083041783455,299.996094630422
Gemini 3 Flash,sharpe,133.4095275382844,133.0222319864965,130.71154400036497,130.72467907183145,131.10805883665986
Gemini 3 Flash,sortino,129.6948941302596,124.97274366953164,124.87358104207979,122.95285472694792,124.57658835010048
Gemini 3 Pro,return,195.00517451059173,216.70358144255206,196.3339204037771,199.22611381979615,189.86287383026976
Gemini 3 Pro,sharpe,226.84560133993457,234.14617809504094,229.10854037615428,223.52692626382392,222.69717862941008
Gemini 3 Pro,sortino,185.7654233012969,178.74909324037094,178.19406837922222,178.15422091378528,179.15046571607215
